Сортировка; Кол-во элементов; Тип массива; Время (Наносекунды)
Сортировка пузырьком (Айверсон 1); 1200; Почти отсортированный; 3387678
Сортировка пузырьком (Айверсон 1 + 2); 1200; Почти отсортированный; 2608959
Сортировка вставками; 1200; Почти отсортированный; 233120
Сортировка бинарными вставками; 1200; Почти отсортированный; 203369
Сортировка подсчетом; 1200; Почти отсортированный; 49597
Цифровая сортировка; 1200; Почти отсортированный; 168641
Сортировка слиянием; 1200; Почти отсортированный; 371998
Быстрая сортировка (Разбиение Хоара); 1200; Почти отсортированный; 69426
Быстрая сортировка (Разбиение Ломуто); 1200; Почти отсортированный; 4047364
Пирамидальная сортировка; 1200; Почти отсортированный; 198399
Сортировка выбором; 1300; Почти отсортированный; 3739842
Сортировка пузырьком; 1300; Почти отсортированный; 4007679
Сортировка пузырьком (Айверсон 1); 1300; Почти отсортированный; 3938242
Сортировка пузырьком (Айверсон 1 + 2); 1300; Почти отсортированный; 2767680
Сортировка вставками; 1300; Почти отсортированный; 267841
Сортировка бинарными вставками; 1300; Почти отсортированный; 248000
Сортировка подсчетом; 1300; Почти отсортированный; 39678
Цифровая сортировка; 1300; Почти отсортированный; 193438
Сортировка слиянием; 1300; Почти отсортированный; 401760
Быстрая сортировка (Разбиение Хоара); 1300; Почти отсортированный; 69442
Быстрая сортировка (Разбиение Ломуто); 1300; Почти отсортированный; 4240801
Пирамидальная сортировка; 1300; Почти отсортированный; 228159
Сортировка выбором; 1400; Почти отсортированный; 4325119
Сортировка пузырьком; 1400; Почти отсортированный; 4642565
Сортировка пузырьком (Айверсон 1); 1400; Почти отсортированный; 4454080
Сортировка пузырьком (Айверсон 1 + 2); 1400; Почти отсортированный; 2802401
Сортировка вставками; 1400; Почти отсортированный; 312479
Сортировка бинарными вставками; 1400; Почти отсортированный; 267839
Сортировка подсчетом; 1400; Почти отсортированный; 14881
Цифровая сортировка; 1400; Почти отсортированный; 198397
Сортировка слиянием; 1400; Почти отсортированный; 456321
Быстрая сортировка (Разбиение Хоара); 1400; Почти отсортированный; 79350
Быстрая сортировка (Разбиение Ломуто); 1400; Почти отсортированный; 5570083
Пирамидальная сортировка; 1400; Почти отсортированный; 262881
Сортировка выбором; 1500; Почти отсортированный; 4974879
Сортировка пузырьком; 1500; Почти отсортированный; 5351843
Сортировка пузырьком (Айверсон 1); 1500; Почти отсортированный; 5029444
Сортировка пузырьком (Айверсон 1 + 2); 1500; Почти отсортированный; 3655517
Сортировка вставками; 1500; Почти отсортированный; 362083
Сортировка бинарными вставками; 1500; Почти отсортированный; 312479
Сортировка подсчетом; 1500; Почти отсортированный; 44638
Цифровая сортировка; 1500; Почти отсортированный; 213285
Сортировка слиянием; 1500; Почти отсортированный; 461276
Быстрая сортировка (Разбиение Хоара); 1500; Почти отсортированный; 94238
Быстрая сортировка (Разбиение Ломуто); 1500; Почти отсортированный; 2222080
Пирамидальная сортировка; 1500; Почти отсортированный; 282720
Сортировка выбором; 1600; Почти отсортированный; 5669274
Сортировка пузырьком; 1600; Почти отсортированный; 6085925
Сортировка пузырьком (Айверсон 1); 1600; Почти отсортированный; 5550240
Сортировка пузырьком (Айверсон 1 + 2); 1600; Почти отсортированный; 3695192
Сортировка вставками; 1600; Почти отсортированный; 386879
Сортировка бинарными вставками; 1600; Почти отсортированный; 337280
Сортировка подсчетом; 1600; Почти отсортированный; 54560
Цифровая сортировка; 1600; Почти отсортированный; 228156
Сортировка слиянием; 1600; Почти отсортированный; 491041
Быстрая сортировка (Разбиение Хоара); 1600; Почти отсортированный; 99202
Быстрая сортировка (Разбиение Ломуто); 1600; Почти отсортированный; 3779517
Пирамидальная сортировка; 1600; Почти отсортированный; 292643
Сортировка выбором; 1700; Почти отсортированный; 6393437
Сортировка пузырьком; 1700; Почти отсортированный; 6874561
Сортировка пузырьком (Айверсон 1); 1700; Почти отсортированный; 6780318
Сортировка пузырьком (Айверсон 1 + 2); 1700; Почти отсортированный; 5505600
Сортировка вставками; 1700; Почти отсортированный; 446402
Сортировка бинарными вставками; 1700; Почти отсортированный; 381920
Сортировка подсчетом; 1700; Почти отсортированный; 49599
Цифровая сортировка; 1700; Почти отсортированный; 238087
Сортировка слиянием; 1700; Почти отсортированный; 540640
Быстрая сортировка (Разбиение Хоара); 1700; Почти отсортированный; 99200
Быстрая сортировка (Разбиение Ломуто); 1700; Почти отсортированный; 5118721
Пирамидальная сортировка; 1700; Почти отсортированный; 322398
Сортировка выбором; 1800; Почти отсортированный; 7187039
Сортировка пузырьком; 1800; Почти отсортированный; 7777282
Сортировка пузырьком (Айверсон 1); 1800; Почти отсортированный; 7509436
Сортировка пузырьком (Айверсон 1 + 2); 1800; Почти отсортированный; 5411359
Сортировка вставками; 1800; Почти отсортированный; 496000
Сортировка бинарными вставками; 1800; Почти отсортированный; 416644
Сортировка подсчетом; 1800; Почти отсортированный; 54556
Цифровая сортировка; 1800; Почти отсортированный; 252962
Сортировка слиянием; 1800; Почти отсортированный; 565444
Быстрая сортировка (Разбиение Хоара); 1800; Почти отсортированный; 104155
Быстрая сортировка (Разбиение Ломуто); 1800; Почти отсортированный; 6824958
Пирамидальная сортировка; 1800; Почти отсортированный; 327365
Сортировка выбором; 1900; Почти отсортированный; 7975678
Сортировка пузырьком; 1900; Почти отсортированный; 8575841
Сортировка пузырьком (Айверсон 1); 1900; Почти отсортированный; 8253439
Сортировка пузырьком (Айверсон 1 + 2); 1900; Почти отсортированный; 5857760
Сортировка вставками; 1900; Почти отсортированный; 540641
Сортировка бинарными вставками; 1900; Почти отсортированный; 456319
Сортировка подсчетом; 1900; Почти отсортированный; 49607
Цифровая сортировка; 1900; Почти отсортированный; 252953
Сортировка слиянием; 1900; Почти отсортированный; 595208
Быстрая сортировка (Разбиение Хоара); 1900; Почти отсортированный; 119044
Быстрая сортировка (Разбиение Ломуто); 1900; Почти отсортированный; 2321284
Пирамидальная сортировка; 1900; Почти отсортированный; 342234
Сортировка выбором; 2000; Почти отсортированный; 8848635
Сортировка пузырьком; 2000; Почти отсортированный; 9493439
Сортировка пузырьком (Айверсон 1); 2000; Почти отсортированный; 9324799
Сортировка пузырьком (Айверсон 1 + 2); 2000; Почти отсортированный; 7092796
Сортировка вставками; 2000; Почти отсортированный; 624962
Сортировка бинарными вставками; 2000; Почти отсортированный; 515842
Сортировка подсчетом; 2000; Почти отсортированный; 29759
Цифровая сортировка; 2000; Почти отсортированный; 277760
Сортировка слиянием; 2000; Почти отсортированный; 639838
Быстрая сортировка (Разбиение Хоара); 2000; Почти отсортированный; 128959
Быстрая сортировка (Разбиение Ломуто); 2000; Почти отсортированный; 2673440
Пирамидальная сортировка; 2000; Почти отсортированный; 376958
Сортировка выбором; 2100; Почти отсортированный; 9721602
Сортировка пузырьком; 2100; Почти отсортированный; 10485436
Сортировка пузырьком (Айверсон 1); 2100; Почти отсортированный; 10172953
Сортировка пузырьком (Айверсон 1 + 2); 2100; Почти отсортированный; 7712801
Сортировка вставками; 2100; Почти отсортированный; 674554
Сортировка бинарными вставками; 2100; Почти отсортированный; 555517
Сортировка подсчетом; 2100; Почти отсортированный; 54549
Цифровая сортировка; 2100; Почти отсортированный; 297605
Сортировка слиянием; 2100; Почти отсортированный; 659681
Быстрая сортировка (Разбиение Хоара); 2100; Почти отсортированный; 119050
Быстрая сортировка (Разбиение Ломуто); 2100; Почти отсортированный; 1532641
Пирамидальная сортировка; 2100; Почти отсортированный; 406720
Сортировка выбором; 2200; Почти отсортированный; 10698714
Сортировка пузырьком; 2200; Почти отсортированный; 11527045
Сортировка пузырьком (Айверсон 1); 2200; Почти отсортированный; 11001277
Сортировка пузырьком (Айверсон 1 + 2); 2200; Почти отсортированный; 8223682
Сортировка вставками; 2200; Почти отсортированный; 743998
Сортировка бинарными вставками; 2200; Почти отсортированный; 600158
Сортировка подсчетом; 2200; Почти отсортированный; 49599
Цифровая сортировка; 2200; Почти отсортированный; 327359
Сортировка слиянием; 2200; Почти отсортированный; 704324
Быстрая сортировка (Разбиение Хоара); 2200; Почти отсортированный; 133919
Быстрая сортировка (Разбиение Ломуто); 2200; Почти отсортированный; 2261764
Пирамидальная сортировка; 2200; Почти отсортированный; 401750
Сортировка выбором; 2300; Почти отсортированный; 11809763
Сортировка пузырьком; 2300; Почти отсортированный; 12702561
Сортировка пузырьком (Айверсон 1); 2300; Почти отсортированный; 11839508
Сортировка пузырьком (Айверсон 1 + 2); 2300; Почти отсортированный; 8223694
Сортировка вставками; 2300; Почти отсортированный; 783678
Сортировка бинарными вставками; 2300; Почти отсортированный; 649757
Сортировка подсчетом; 2300; Почти отсортированный; 59517
Цифровая сортировка; 2300; Почти отсортированный; 312481
Сортировка слиянием; 2300; Почти отсортированный; 739023
Быстрая сортировка (Разбиение Хоара); 2300; Почти отсортированный; 163680
Быстрая сортировка (Разбиение Ломуто); 2300; Почти отсортированный; 4518564
Пирамидальная сортировка; 2300; Почти отсортированный; 446396
Сортировка выбором; 2400; Почти отсортированный; 12712479
Сортировка пузырьком; 2400; Почти отсортированный; 13649922
Сортировка пузырьком (Айверсон 1); 2400; Почти отсортированный; 12648007
Сортировка пузырьком (Айверсон 1 + 2); 2400; Почти отсортированный; 8288159
Сортировка вставками; 2400; Почти отсортированный; 858089
Сортировка бинарными вставками; 2400; Почти отсортированный; 699354
Сортировка подсчетом; 2400; Почти отсортированный; 14884
Цифровая сортировка; 2400; Почти отсортированный; 347198
Сортировка слиянием; 2400; Почти отсортированный; 788640
Быстрая сортировка (Разбиение Хоара); 2400; Почти отсортированный; 138881
Быстрая сортировка (Разбиение Ломуто); 2400; Почти отсортированный; 6973762
Пирамидальная сортировка; 2400; Почти отсортированный; 466246
Сортировка выбором; 2500; Почти отсортированный; 13858237
Сортировка пузырьком; 2500; Почти отсортированный; 14820480
Сортировка пузырьком (Айверсон 1); 2500; Почти отсортированный; 13511038
Сортировка пузырьком (Айверсон 1 + 2); 2500; Почти отсортированный; 8337761
Сортировка вставками; 2500; Почти отсортированный; 892801
Сортировка бинарными вставками; 2500; Почти отсортированный; 734080
Сортировка подсчетом; 2500; Почти отсортированный; 59503
Цифровая сортировка; 2500; Почти отсортированный; 347206
Сортировка слиянием; 2500; Почти отсортированный; 788647
Быстрая сортировка (Разбиение Хоара); 2500; Почти отсортированный; 153757
Быстрая сортировка (Разбиение Ломуто); 2500; Почти отсортированный; 9404160
Пирамидальная сортировка; 2500; Почти отсортированный; 496004
Сортировка выбором; 2600; Почти отсортированный; 14850243
Сортировка пузырьком; 2600; Почти отсортированный; 16010876
Сортировка пузырьком (Айверсон 1); 2600; Почти отсортированный; 15832323
Сортировка пузырьком (Айверсон 1 + 2); 2600; Почти отсортированный; 12072631
Сортировка вставками; 2600; Почти отсортированный; 967201
Сортировка бинарными вставками; 2600; Почти отсортированный; 798558
Сортировка подсчетом; 2600; Почти отсортированный; 54554
Цифровая сортировка; 2600; Почти отсортированный; 362082
Сортировка слиянием; 2600; Почти отсортированный; 872965
Быстрая сортировка (Разбиение Хоара); 2600; Почти отсортированный; 168641
Быстрая сортировка (Разбиение Ломуто); 2600; Почти отсортированный; 2197283
Пирамидальная сортировка; 2600; Почти отсортированный; 510878
Сортировка выбором; 2700; Почти отсортированный; 16075367
Сортировка пузырьком; 2700; Почти отсортированный; 17320320
Сортировка пузырьком (Айверсон 1); 2700; Почти отсортированный; 16710242
Сортировка пузырьком (Айверсон 1 + 2); 2700; Почти отсортированный; 12127198
Сортировка вставками; 2700; Почти отсортированный; 1021760
Сортировка бинарными вставками; 2700; Почти отсортированный; 843195
Сортировка подсчетом; 2700; Почти отсортированный; 79357
Цифровая сортировка; 2700; Почти отсортированный; 386886
Сортировка слиянием; 2700; Почти отсортированный; 887839
Быстрая сортировка (Разбиение Хоара); 2700; Почти отсортированный; 173601
Быстрая сортировка (Разбиение Ломуто); 2700; Почти отсортированный; 3992806
Пирамидальная сортировка; 2700; Почти отсортированный; 530721
Сортировка выбором; 2800; Почти отсортированный; 17290553
Сортировка пузырьком; 2800; Почти отсортированный; 18674403
Сортировка пузырьком (Айверсон 1); 2800; Почти отсортированный; 17801442
Сортировка пузырьком (Айверсон 1 + 2); 2800; Почти отсортированный; 13515995
Сортировка вставками; 2800; Почти отсортированный; 1111035
Сортировка бинарными вставками; 2800; Почти отсортированный; 902719
Сортировка подсчетом; 2800; Почти отсортированный; 64482
Цифровая сортировка; 2800; Почти отсортированный; 391839
Сортировка слиянием; 2800; Почти отсортированный; 912638
Быстрая сортировка (Разбиение Хоара); 2800; Почти отсортированный; 178557
Быстрая сортировка (Разбиение Ломуто); 2800; Почти отсортированный; 3397598
Пирамидальная сортировка; 2800; Почти отсортированный; 535676
Сортировка выбором; 2900; Почти отсортированный; 18485918
Сортировка пузырьком; 2900; Почти отсортированный; 20043360
Сортировка пузырьком (Айверсон 1); 2900; Почти отсортированный; 19968955
Сортировка пузырьком (Айверсон 1 + 2); 2900; Почти отсортированный; 15504964
Сортировка вставками; 2900; Почти отсортированный; 1205274
Сортировка бинарными вставками; 2900; Почти отсортированный; 987032
Сортировка подсчетом; 2900; Почти отсортированный; 49601
Цифровая сортировка; 2900; Почти отсортированный; 416639
Сортировка слиянием; 2900; Почти отсортированный; 937437
Быстрая сортировка (Разбиение Хоара); 2900; Почти отсортированный; 188487
Быстрая сортировка (Разбиение Ломуто); 2900; Почти отсортированный; 2098086
Пирамидальная сортировка; 2900; Почти отсортированный; 565437
Сортировка выбором; 3000; Почти отсортированный; 19800323
Сортировка пузырьком; 3000; Почти отсортированный; 21397435
Сортировка пузырьком (Айверсон 1); 3000; Почти отсортированный; 21347832
Сортировка пузырьком (Айверсон 1 + 2); 3000; Почти отсортированный; 16333280
Сортировка вставками; 3000; Почти отсортированный; 1339203
Сортировка бинарными вставками; 3000; Почти отсортированный; 1056479
Сортировка подсчетом; 3000; Почти отсортированный; 74399
Цифровая сортировка; 3000; Почти отсортированный; 446398
Сортировка слиянием; 3000; Почти отсортированный; 987038
Быстрая сортировка (Разбиение Хоара); 3000; Почти отсортированный; 193440
Быстрая сортировка (Разбиение Ломуто); 3000; Почти отсортированный; 1696316
Пирамидальная сортировка; 3000; Почти отсортированный; 600162
Сортировка выбором; 3100; Почти отсортированный; 21243674
Сортировка пузырьком; 3100; Почти отсортированный; 22979670
Сортировка пузырьком (Айверсон 1); 3100; Почти отсортированный; 22806082
Сортировка пузырьком (Айверсон 1 + 2); 3100; Почти отсортированный; 17608000
Сортировка вставками; 3100; Почти отсортированный; 1438399
Сортировка бинарными вставками; 3100; Почти отсортированный; 1140795
Сортировка подсчетом; 3100; Почти отсортированный; 89280
Цифровая сортировка; 3100; Почти отсортированный; 446399
Сортировка слиянием; 3100; Почти отсортированный; 1016804
Быстрая сортировка (Разбиение Хоара); 3100; Почти отсортированный; 203358
Быстрая сортировка (Разбиение Ломуто); 3100; Почти отсортированный; 957284
Пирамидальная сортировка; 3100; Почти отсортированный; 615043
Сортировка выбором; 3200; Почти отсортированный; 22553116
Сортировка пузырьком; 3200; Почти отсортированный; 24537121
Сортировка пузырьком (Айверсон 1); 3200; Почти отсортированный; 24155210
Сортировка пузырьком (Айверсон 1 + 2); 3200; Почти отсортированный; 18347041
Сортировка вставками; 3200; Почти отсортированный; 1517762
Сортировка бинарными вставками; 3200; Почти отсортированный; 1195358
Сортировка подсчетом; 3200; Почти отсортированный; 74402
Цифровая сортировка; 3200; Почти отсортированный; 505920
Сортировка слиянием; 3200; Почти отсортированный; 1046560
Быстрая сортировка (Разбиение Хоара); 3200; Почти отсортированный; 193442
Быстрая сортировка (Разбиение Ломуто); 3200; Почти отсортированный; 2673435
Пирамидальная сортировка; 3200; Почти отсортированный; 619998
Сортировка выбором; 3300; Почти отсортированный; 23981605
Сортировка пузырьком; 3300; Почти отсортированный; 26049921
Сортировка пузырьком (Айверсон 1); 3300; Почти отсортированный; 25429924
Сортировка пузырьком (Айверсон 1 + 2); 3300; Почти отсортированный; 18907517
Сортировка вставками; 3300; Почти отсортированный; 1602082
Сортировка бинарными вставками; 3300; Почти отсортированный; 1254880
Сортировка подсчетом; 3300; Почти отсортированный; 69443
Цифровая сортировка; 3300; Почти отсортированный; 496007
Сортировка слиянием; 3300; Почти отсортированный; 1071338
Быстрая сортировка (Разбиение Хоара); 3300; Почти отсортированный; 203358
Быстрая сортировка (Разбиение Ломуто); 3300; Почти отсортированный; 2574237
Пирамидальная сортировка; 3300; Почти отсортированный; 659685
Сортировка выбором; 3400; Почти отсортированный; 25385287
Сортировка пузырьком; 3400; Почти отсортированный; 27731361
Сортировка пузырьком (Айверсон 1); 3400; Почти отсортированный; 27012160
Сортировка пузырьком (Айверсон 1 + 2); 3400; Почти отсортированный; 20479840
Сортировка вставками; 3400; Почти отсортированный; 1770721
Сортировка бинарными вставками; 3400; Почти отсортированный; 1433441
Сортировка подсчетом; 3400; Почти отсортированный; 69439
Цифровая сортировка; 3400; Почти отсортированный; 486070
Сортировка слиянием; 3400; Почти отсортированный; 1116010
Быстрая сортировка (Разбиение Хоара); 3400; Почти отсортированный; 213280
Быстрая сортировка (Разбиение Ломуто); 3400; Почти отсортированный; 1483045
Пирамидальная сортировка; 3400; Почти отсортированный; 669596
Сортировка выбором; 3500; Почти отсортированный; 26893120
Сортировка пузырьком; 3500; Почти отсортированный; 29437599
Сортировка пузырьком (Айверсон 1); 3500; Почти отсортированный; 28440640
Сортировка пузырьком (Айверсон 1 + 2); 3500; Почти отсортированный; 21749599
Сортировка вставками; 3500; Почти отсортированный; 1914554
Сортировка бинарными вставками; 3500; Почти отсортированный; 1497913
Сортировка подсчетом; 3500; Почти отсортированный; 74399
Цифровая сортировка; 3500; Почти отсортированный; 496005
Сортировка слиянием; 3500; Почти отсортированный; 1160639
Быстрая сортировка (Разбиение Хоара); 3500; Почти отсортированный; 218238
Быстрая сортировка (Разбиение Ломуто); 3500; Почти отсортированный; 1329286
Пирамидальная сортировка; 3500; Почти отсортированный; 694392
Сортировка выбором; 3600; Почти отсортированный; 28713443
Сортировка пузырьком; 3600; Почти отсортированный; 31203363
Сортировка пузырьком (Айверсон 1); 3600; Почти отсортированный; 30583352
Сортировка пузырьком (Айверсон 1 + 2); 3600; Почти отсортированный; 23406241
Сортировка вставками; 3600; Почти отсортированный; 1974083
Сортировка бинарными вставками; 3600; Почти отсортированный; 1582241
Сортировка подсчетом; 3600; Почти отсортированный; 84303
Цифровая сортировка; 3600; Почти отсортированный; 530718
Сортировка слиянием; 3600; Почти отсортированный; 1185442
Быстрая сортировка (Разбиение Хоара); 3600; Почти отсортированный; 233128
Быстрая сортировка (Разбиение Ломуто); 3600; Почти отсортированный; 3382723
Пирамидальная сортировка; 3600; Почти отсортированный; 739050
Сортировка выбором; 3700; Почти отсортированный; 30136950
Сортировка пузырьком; 3700; Почти отсортированный; 33033592
Сортировка пузырьком (Айверсон 1); 3700; Почти отсортированный; 32736005
Сортировка пузырьком (Айверсон 1 + 2); 3700; Почти отсортированный; 25350560
Сортировка вставками; 3700; Почти отсортированный; 2103044
Сортировка бинарными вставками; 3700; Почти отсортированный; 1656641
Сортировка подсчетом; 3700; Почти отсортированный; 79357
Цифровая сортировка; 3700; Почти отсортированный; 540638
Сортировка слиянием; 3700; Почти отсортированный; 1230079
Быстрая сортировка (Разбиение Хоара); 3700; Почти отсортированный; 238077
Быстрая сортировка (Разбиение Ломуто); 3700; Почти отсортированный; 3744803
Пирамидальная сортировка; 3700; Почти отсортированный; 838231
Сортировка выбором; 3800; Почти отсортированный; 31714231
Сортировка пузырьком; 3800; Почти отсортированный; 34829117
Сортировка пузырьком (Айверсон 1); 3800; Почти отсортированный; 34556321
Сортировка пузырьком (Айверсон 1 + 2); 3800; Почти отсортированный; 26610390
Сортировка вставками; 3800; Почти отсортированный; 2231997
Сортировка бинарными вставками; 3800; Почти отсортированный; 1731043
Сортировка подсчетом; 3800; Почти отсортированный; 84321
Цифровая сортировка; 3800; Почти отсортированный; 535680
Сортировка слиянием; 3800; Почти отсортированный; 1264809
Быстрая сортировка (Разбиение Хоара); 3800; Почти отсортированный; 238077
Быстрая сортировка (Разбиение Ломуто); 3800; Почти отсортированный; 2975984
Пирамидальная сортировка; 3800; Почти отсортированный; 773753
Сортировка выбором; 3900; Почти отсортированный; 33316307
Сортировка пузырьком; 3900; Почти отсортированный; 37383522
Сортировка пузырьком (Айверсон 1); 3900; Почти отсортированный; 36847836
Сортировка пузырьком (Айверсон 1 + 2); 3900; Почти отсортированный; 28410872
Сортировка вставками; 3900; Почти отсортированный; 2415517
Сортировка бинарными вставками; 3900; Почти отсортированный; 1909604
Сортировка подсчетом; 3900; Почти отсортированный; 89281
Цифровая сортировка; 3900; Почти отсортированный; 545605
Сортировка слиянием; 3900; Почти отсортированный; 1299527
Быстрая сортировка (Разбиение Хоара); 3900; Почти отсортированный; 238084
Быстрая сортировка (Разбиение Ломуто); 3900; Почти отсортированный; 2103043
Пирамидальная сортировка; 3900; Почти отсортированный; 833279
Сортировка выбором; 4000; Почти отсортированный; 35166402
Сортировка пузырьком; 4000; Почти отсортированный; 38990563
Сортировка пузырьком (Айверсон 1); 4000; Почти отсортированный; 38271363
Сортировка пузырьком (Айверсон 1 + 2); 4000; Почти отсортированный; 29621119
Сортировка вставками; 4000; Почти отсортированный; 2524635
Сортировка бинарными вставками; 4000; Почти отсортированный; 1974074
Сортировка подсчетом; 4000; Почти отсортированный; 59520
Цифровая сортировка; 4000; Почти отсортированный; 570400
Сортировка слиянием; 4000; Почти отсортированный; 1334234
Быстрая сортировка (Разбиение Хоара); 4000; Почти отсортированный; 183521
Быстрая сортировка (Разбиение Ломуто); 4000; Почти отсортированный; 2479990
Пирамидальная сортировка; 4000; Почти отсортированный; 853127
Сортировка выбором; 4100; Почти отсортированный; 37076005
Сортировка пузырьком; 4100; Почти отсортированный; 40840642
Сортировка пузырьком (Айверсон 1); 4100; Почти отсортированный; 40314874
Сортировка пузырьком (Айверсон 1 + 2); 4100; Почти отсортированный; 31947359
Сортировка вставками; 4100; Почти отсортированный; 2584155
Сортировка бинарными вставками; 4100; Почти отсортированный; 2013760
Сортировка подсчетом; 4100; Почти отсортированный; 89278
Цифровая сортировка; 4100; Почти отсортированный; 615041
Сортировка слиянием; 4100; Почти отсортированный; 1349124
Быстрая сортировка (Разбиение Хоара); 4100; Почти отсортированный; 133917
Быстрая сортировка (Разбиение Ломуто); 4100; Почти отсортированный; 1364004
Пирамидальная сортировка; 4100; Почти отсортированный; 877928
Сортировка выбором; 50; Отсортированный в обратном порядке; 9921
Сортировка пузырьком; 50; Отсортированный в обратном порядке; 14875
Сортировка пузырьком (Айверсон 1); 50; Отсортированный в обратном порядке; 14882
Сортировка пузырьком (Айверсон 1 + 2); 50; Отсортированный в обратном порядке; 14878
Сортировка вставками; 50; Отсортированный в обратном порядке; 9927
Сортировка бинарными вставками; 50; Отсортированный в обратном порядке; 9914
Сортировка подсчетом; 50; Отсортированный в обратном порядке; 14879
Цифровая сортировка; 50; Отсортированный в обратном порядке; 4961
Сортировка слиянием; 50; Отсортированный в обратном порядке; 14879
Быстрая сортировка (Разбиение Хоара); 50; Отсортированный в обратном порядке; 0
Быстрая сортировка (Разбиение Ломуто); 50; Отсортированный в обратном порядке; 9920
Пирамидальная сортировка; 50; Отсортированный в обратном порядке; 4960
Сортировка выбором; 60; Отсортированный в обратном порядке; 9923
Сортировка пузырьком; 60; Отсортированный в обратном порядке; 19837
Сортировка пузырьком (Айверсон 1); 60; Отсортированный в обратном порядке; 19840
Сортировка пузырьком (Айверсон 1 + 2); 60; Отсортированный в обратном порядке; 19840
Сортировка вставками; 60; Отсортированный в обратном порядке; 19840
Сортировка бинарными вставками; 60; Отсортированный в обратном порядке; 14880
Сортировка подсчетом; 60; Отсортированный в обратном порядке; 19840
Цифровая сортировка; 60; Отсортированный в обратном порядке; 9920
Сортировка слиянием; 60; Отсортированный в обратном порядке; 14885
Быстрая сортировка (Разбиение Хоара); 60; Отсортированный в обратном порядке; 0
Быстрая сортировка (Разбиение Ломуто); 60; Отсортированный в обратном порядке; 14875
Пирамидальная сортировка; 60; Отсортированный в обратном порядке; 4964
Сортировка выбором; 70; Отсортированный в обратном порядке; 14876
Сортировка пузырьком; 70; Отсортированный в обратном порядке; 29760
Сортировка пузырьком (Айверсон 1); 70; Отсортированный в обратном порядке; 29760
Сортировка пузырьком (Айверсон 1 + 2); 70; Отсортированный в обратном порядке; 24800
Сортировка вставками; 70; Отсортированный в обратном порядке; 29762
Сортировка бинарными вставками; 70; Отсортированный в обратном порядке; 19838
Сортировка подсчетом; 70; Отсортированный в обратном порядке; 19841
Цифровая сортировка; 70; Отсортированный в обратном порядке; 9919
Сортировка слиянием; 70; Отсортированный в обратном порядке; 19841
Быстрая сортировка (Разбиение Хоара); 70; Отсортированный в обратном порядке; 0
Быстрая сортировка (Разбиение Ломуто); 70; Отсортированный в обратном порядке; 19839
Пирамидальная сортировка; 70; Отсортированный в обратном порядке; 4960
Сортировка выбором; 80; Отсортированный в обратном порядке; 14878
Сортировка пузырьком; 80; Отсортированный в обратном порядке; 34723
Сортировка пузырьком (Айверсон 1); 80; Отсортированный в обратном порядке; 39679
Сортировка пузырьком (Айверсон 1 + 2); 80; Отсортированный в обратном порядке; 34718
Сортировка вставками; 80; Отсортированный в обратном порядке; 34720
Сортировка бинарными вставками; 80; Отсортированный в обратном порядке; 29762
Сортировка подсчетом; 80; Отсортированный в обратном порядке; 19838
Цифровая сортировка; 80; Отсортированный в обратном порядке; 9920
Сортировка слиянием; 80; Отсортированный в обратном порядке; 19840
Быстрая сортировка (Разбиение Хоара); 80; Отсортированный в обратном порядке; 4960
Быстрая сортировка (Разбиение Ломуто); 80; Отсортированный в обратном порядке; 24800
